data_base,porte,carteira_ativa,carteira_inadimplida_arrastada,ticket
2014-08-01,PF - Sem rendimento                          ,14930464425.76,326762992.41,66845.66551853431
2014-09-01,PF - Acima de 20 salários mínimos            ,71147391595.88,721089370.94,215723.6556529999
2014-09-01,PF - Até 1 salário mínimo                    ,20099255653.46,417528109.26,63093.39475041204
2014-09-01,PF - Indisponível                            ,457997232.51,15746916.51,53803.50353691319
2014-09-01,PF - Mais de 1 a 2 salários mínimos          ,32875575885.739998,712730500.35,36469.99455504179
2014-09-01,PF - Mais de 10 a 20 salários mínimos        ,79482343671.73,814148850.98,108110.66400126372
2014-09-01,PF - Mais de 2 a 3 salários mínimos          ,53419121143.07,1081941235.17,42735.98325386393
2014-09-01,PF - Mais de 3 a 5 salários mínimos          ,55959315651.96,940168055.1,48494.28523246732
2014-09-01,PF - Mais de 5 a 10 salários mínimos         ,79766160383.45999,1054641629.42,69336.32281407037
2014-09-01,PF - Sem rendimento                          ,485738855.87,21858622.2,79474.17557464635
2014-10-01,PF - Acima de 20 salários mínimos            ,72444580684.23,811449395.27,218469.49232799394
2014-10-01,PF - Até 1 salário mínimo                    ,22472896631.15,498280395.35,67808.21215111388
2014-10-01,PF - Indisponível                            ,452588220.17,14358596.34,54121.43009432198
2014-10-01,PF - Mais de 1 a 2 salários mínimos          ,33649181390.33,827287191.38,37587.3114358472
2014-10-01,PF - Mais de 10 a 20 salários mínimos        ,80784992040.86,919433420.94,108688.81576133212
2014-10-01,PF - Mais de 2 a 3 salários mínimos          ,54749762599.4,1272580614.98,43562.1013421334
2014-10-01,PF - Mais de 3 a 5 salários mínimos          ,56876351390.36,1117101881.02,49129.07186559906
2014-10-01,PF - Mais de 5 a 10 salários mínimos         ,81058334303.96,1229815246.55,70057.29130538518
2014-10-01,PF - Sem rendimento                          ,442011718.49,21054437.99,77368.6169990211
2014-11-01,PF - Acima de 20 salários mínimos            ,73851202051.24,853181841.51,219804.6421157
2014-11-01,PF - Até 1 salário mínimo                    ,26633287180.15,518641072.8,71650.83048569778
2014-11-01,PF - Indisponível                            ,447264957.91,14000223.04,53932.89283808314
2014-11-01,PF - Mais de 1 a 2 salários mínimos          ,32608942497.56,747112628.25,38407.90742441815
2014-11-01,PF - Mais de 10 a 20 salários mínimos        ,81884366755.21,898854348.64,110075.32986693454
2014-11-01,PF - Mais de 2 a 3 salários mínimos          ,55775555205.03,1234809511.63,44191.98397204412
2014-11-01,PF - Mais de 3 a 5 salários mínimos          ,57388802961.85,1065410415.6,49629.9195245113
2014-11-01,PF - Mais de 5 a 10 salários mínimos         ,82149068390.62,1192988182.65,70990.1513552546
2014-11-01,PF - Sem rendimento                          ,453697541.46,22754639.1,75815.82414413508
2014-12-01,PF - Acima de 20 salários mínimos            ,74723810233.84,741087488.98,223943.9477209796
2014-12-01,PF - Até 1 salário mínimo                    ,27897974072.99,398792432.3,78589.79647134444
2014-12-01,PF - Indisponível                            ,439880311.12,11839464.09,54198.5653299443
2014-12-01,PF - Mais de 1 a 2 salários mínimos          ,35163535416.61,629263223.22,39560.71827890577
2014-12-01,PF - Mais de 10 a 20 salários mínimos        ,82842332335.56,814073011.25,112149.50862859559
2014-12-01,PF - Mais de 2 a 3 salários mínimos          ,56974591122.29,1022889630.03,45538.4923460744
2014-12-01,PF - Mais de 3 a 5 salários mínimos          ,58163759908.21,868106548.14,50681.65162895271
2014-12-01,PF - Mais de 5 a 10 salários mínimos         ,83193874308.43,1016418005.4,72269.3516417484
2014-12-01,PF - Sem rendimento                          ,462101767.7,21632446.91,75827.58282454152
2015-01-01,PF - Acima de 20 salários mínimos            ,73315230721.03,925826431.08,242587.74299211756
2015-01-01,PF - Até 1 salário mínimo                    ,30824886246.23,461685636.3,93514.81011570829
2015-01-01,PF - Indisponível                            ,433532595.4,10419731.05,57674.88504209073
2015-01-01,PF - Mais de 1 a 2 salários mínimos          ,36492278685.82,731921453.47,43600.60474467131
2015-01-01,PF - Mais de 10 a 20 salários mínimos        ,83484112591.77,921850990.5600001,121654.34432498759
2015-01-01,PF - Mais de 2 a 3 salários mínimos          ,58086621905.93,1234540892.61,48000.07531971435
2015-01-01,PF - Mais de 3 a 5 salários mínimos          ,58802665795.12,1002728870.93,54615.42360062479
2015-01-01,PF - Mais de 5 a 10 salários mínimos         ,84832566725.72,1193709267.82,77280.93663509811
2015-01-01,PF - Sem rendimento                          ,1070780768.95,27060673.11,118722.22931908291
2015-02-01,PF - Acima de 20 salários mínimos            ,73141595930.72,1038732902.85,241008.93606880656
